Dataset ID,Quantum State,Method,Expected Fidelity,Observed Fidelity,Expected Error,Observed Error,CI Lower Bound,CI Upper Bound
QST Dataset1,State 5,Bayesian Inference,0.949,0.727,0.076,0.187,0.693,0.805
QST Dataset1,State 1,Maximum Likelihood,0.703,0.938,0.278,0.173,0.842,0.909
QST Dataset1,State 2,Variational Quantum Eigensolver,0.804,0.842,0.1,0.108,0.737,0.926
QST Dataset1,State 3,Quantum Neural Networks,0.797,0.705,0.298,0.138,0.796,0.892
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.812,0.869,0.224,0.188,0.88,0.753
QST Dataset1,State 5,Shadow Tomography,0.723,0.873,0.243,0.072,0.865,0.849
QST Dataset1,State 1,Bayesian Inference,0.755,0.833,0.252,0.101,0.76,0.81
QST Dataset1,State 2,Maximum Likelihood,0.893,0.873,0.099,0.118,0.693,0.845
QST Dataset1,State 3,Variational Quantum Eigensolver,0.803,0.93,0.088,0.293,0.757,0.761
QST Dataset1,State 4,Quantum Neural Networks,0.854,0.767,0.279,0.204,0.684,0.935
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.825,0.909,0.298,0.258,0.918,0.873
QST Dataset1,State 1,Shadow Tomography,0.933,0.919,0.274,0.188,0.795,0.789
QST Dataset1,State 2,Bayesian Inference,0.898,0.712,0.26,0.103,0.914,0.841
QST Dataset1,State 3,Maximum Likelihood,0.907,0.823,0.09,0.143,0.759,0.929
QST Dataset1,State 4,Variational Quantum Eigensolver,0.712,0.934,0.083,0.284,0.888,0.825
QST Dataset1,State 5,Quantum Neural Networks,0.902,0.816,0.275,0.256,0.84,0.957
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.791,0.902,0.245,0.223,0.918,0.798
QST Dataset1,State 2,Shadow Tomography,0.943,0.925,0.125,0.09,0.788,0.868
QST Dataset1,State 3,Bayesian Inference,0.719,0.892,0.055,0.156,0.707,0.785
QST Dataset1,State 4,Maximum Likelihood,0.826,0.943,0.157,0.175,0.733,0.754
QST Dataset1,State 5,Variational Quantum Eigensolver,0.887,0.731,0.168,0.294,0.885,0.862
QST Dataset1,State 1,Quantum Neural Networks,0.879,0.927,0.196,0.282,0.661,0.938
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.918,0.921,0.059,0.219,0.903,0.763
QST Dataset1,State 3,Shadow Tomography,0.711,0.813,0.286,0.161,0.664,0.786
QST Dataset1,State 4,Bayesian Inference,0.864,0.713,0.05,0.089,0.807,0.754
QST Dataset1,State 5,Maximum Likelihood,0.717,0.745,0.209,0.165,0.805,0.95
QST Dataset1,State 1,Variational Quantum Eigensolver,0.827,0.786,0.111,0.222,0.772,0.879
QST Dataset1,State 2,Quantum Neural Networks,0.842,0.794,0.132,0.16,0.729,0.839
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.889,0.866,0.124,0.058,0.89,0.946
QST Dataset1,State 4,Shadow Tomography,0.773,0.907,0.118,0.209,0.653,0.855
QST Dataset1,State 5,Bayesian Inference,0.866,0.714,0.178,0.274,0.8,0.934
QST Dataset1,State 1,Maximum Likelihood,0.761,0.743,0.148,0.07,0.69,0.895
QST Dataset1,State 2,Variational Quantum Eigensolver,0.739,0.766,0.066,0.095,0.854,0.893
QST Dataset1,State 3,Quantum Neural Networks,0.904,0.841,0.063,0.147,0.698,0.81
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.71,0.746,0.144,0.167,0.898,0.799
QST Dataset1,State 5,Shadow Tomography,0.726,0.925,0.26,0.241,0.891,0.794
QST Dataset1,State 1,Bayesian Inference,0.746,0.898,0.182,0.273,0.681,0.855
QST Dataset1,State 2,Maximum Likelihood,0.946,0.835,0.106,0.085,0.681,0.95
QST Dataset1,State 3,Variational Quantum Eigensolver,0.926,0.935,0.259,0.129,0.768,0.904
QST Dataset1,State 4,Quantum Neural Networks,0.747,0.786,0.217,0.134,0.688,0.938
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.743,0.775,0.221,0.16,0.82,0.838
QST Dataset1,State 1,Shadow Tomography,0.758,0.71,0.154,0.144,0.879,0.83
QST Dataset1,State 2,Bayesian Inference,0.719,0.817,0.172,0.076,0.912,0.935
QST Dataset1,State 3,Maximum Likelihood,0.813,0.936,0.292,0.063,0.881,0.851
QST Dataset1,State 4,Variational Quantum Eigensolver,0.856,0.919,0.236,0.149,0.855,0.907
QST Dataset1,State 5,Quantum Neural Networks,0.773,0.733,0.138,0.088,0.795,0.76
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.94,0.891,0.087,0.269,0.669,0.927
QST Dataset1,State 2,Shadow Tomography,0.835,0.834,0.267,0.089,0.794,0.906
QST Dataset1,State 3,Bayesian Inference,0.735,0.765,0.126,0.283,0.653,0.919
QST Dataset1,State 4,Maximum Likelihood,0.761,0.798,0.052,0.275,0.786,0.75
QST Dataset1,State 5,Variational Quantum Eigensolver,0.821,0.915,0.174,0.206,0.656,0.929
QST Dataset1,State 1,Quantum Neural Networks,0.708,0.859,0.056,0.051,0.825,0.931
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.897,0.848,0.178,0.174,0.779,0.911
QST Dataset1,State 3,Shadow Tomography,0.912,0.843,0.206,0.166,0.789,0.812
QST Dataset1,State 4,Bayesian Inference,0.8,0.88,0.081,0.274,0.81,0.883
QST Dataset1,State 5,Maximum Likelihood,0.857,0.894,0.166,0.222,0.676,0.875
QST Dataset1,State 1,Variational Quantum Eigensolver,0.843,0.786,0.259,0.243,0.8,0.817
QST Dataset1,State 2,Quantum Neural Networks,0.904,0.808,0.279,0.064,0.929,0.817
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.865,0.748,0.287,0.08,0.885,0.787
QST Dataset1,State 4,Shadow Tomography,0.851,0.931,0.218,0.141,0.657,0.899
QST Dataset1,State 5,Bayesian Inference,0.773,0.741,0.189,0.12,0.836,0.946
QST Dataset1,State 1,Maximum Likelihood,0.797,0.74,0.102,0.09,0.736,0.913
QST Dataset1,State 2,Variational Quantum Eigensolver,0.937,0.93,0.087,0.166,0.853,0.808
QST Dataset1,State 3,Quantum Neural Networks,0.895,0.823,0.234,0.087,0.921,0.9
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.917,0.833,0.202,0.171,0.868,0.827
QST Dataset1,State 5,Shadow Tomography,0.903,0.904,0.127,0.192,0.926,0.897
QST Dataset1,State 1,Bayesian Inference,0.925,0.803,0.103,0.212,0.668,0.855
QST Dataset1,State 2,Maximum Likelihood,0.865,0.826,0.266,0.193,0.851,0.925
QST Dataset1,State 3,Variational Quantum Eigensolver,0.929,0.795,0.272,0.07,0.719,0.819
QST Dataset1,State 4,Quantum Neural Networks,0.759,0.943,0.268,0.251,0.674,0.842
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.741,0.898,0.251,0.116,0.701,0.901
QST Dataset1,State 1,Shadow Tomography,0.822,0.904,0.115,0.234,0.919,0.786
QST Dataset1,State 2,Bayesian Inference,0.708,0.772,0.171,0.139,0.914,0.755
QST Dataset1,State 3,Maximum Likelihood,0.753,0.83,0.14,0.063,0.929,0.789
QST Dataset1,State 4,Variational Quantum Eigensolver,0.819,0.907,0.283,0.131,0.698,0.871
QST Dataset1,State 5,Quantum Neural Networks,0.839,0.74,0.242,0.276,0.909,0.789
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.835,0.758,0.188,0.071,0.799,0.775
QST Dataset1,State 2,Shadow Tomography,0.708,0.79,0.112,0.076,0.802,0.933
QST Dataset1,State 3,Bayesian Inference,0.758,0.825,0.201,0.247,0.83,0.812
QST Dataset1,State 4,Maximum Likelihood,0.941,0.721,0.064,0.217,0.693,0.947
QST Dataset1,State 5,Variational Quantum Eigensolver,0.766,0.91,0.191,0.159,0.781,0.959
QST Dataset1,State 1,Quantum Neural Networks,0.824,0.715,0.231,0.087,0.899,0.907
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.896,0.919,0.177,0.083,0.738,0.951
QST Dataset1,State 3,Shadow Tomography,0.872,0.926,0.109,0.065,0.839,0.958
QST Dataset1,State 4,Bayesian Inference,0.882,0.825,0.145,0.295,0.845,0.965
QST Dataset1,State 5,Maximum Likelihood,0.809,0.722,0.248,0.154,0.65,0.873
QST Dataset1,State 1,Variational Quantum Eigensolver,0.904,0.779,0.213,0.283,0.849,0.762
QST Dataset1,State 2,Quantum Neural Networks,0.939,0.818,0.101,0.082,0.707,0.812
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.937,0.911,0.293,0.271,0.796,0.794
QST Dataset1,State 4,Shadow Tomography,0.891,0.921,0.223,0.155,0.866,0.901
QST Dataset1,State 5,Bayesian Inference,0.817,0.945,0.232,0.076,0.801,0.927
QST Dataset1,State 1,Maximum Likelihood,0.737,0.825,0.108,0.203,0.737,0.769
QST Dataset1,State 2,Variational Quantum Eigensolver,0.942,0.715,0.223,0.187,0.819,0.781
QST Dataset1,State 3,Quantum Neural Networks,0.769,0.818,0.137,0.234,0.801,0.939
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.836,0.779,0.077,0.14,0.75,0.898
QST Dataset1,State 5,Shadow Tomography,0.845,0.948,0.108,0.207,0.767,0.815
QST Dataset1,State 1,Bayesian Inference,0.854,0.936,0.072,0.158,0.725,0.902
QST Dataset1,State 2,Maximum Likelihood,0.919,0.837,0.083,0.126,0.776,0.871
QST Dataset1,State 3,Variational Quantum Eigensolver,0.779,0.871,0.182,0.117,0.786,0.811
QST Dataset1,State 4,Quantum Neural Networks,0.92,0.823,0.234,0.2,0.913,0.794
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.909,0.894,0.228,0.158,0.721,0.813
QST Dataset1,State 1,Shadow Tomography,0.909,0.814,0.249,0.282,0.745,0.77
QST Dataset1,State 2,Bayesian Inference,0.707,0.8,0.067,0.138,0.896,0.847
QST Dataset1,State 3,Maximum Likelihood,0.722,0.805,0.144,0.22,0.812,0.945
QST Dataset1,State 4,Variational Quantum Eigensolver,0.941,0.705,0.222,0.21,0.804,0.779
QST Dataset1,State 5,Quantum Neural Networks,0.923,0.819,0.177,0.142,0.787,0.779
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.723,0.783,0.057,0.253,0.92,0.963
QST Dataset1,State 2,Shadow Tomography,0.856,0.795,0.279,0.06,0.836,0.914
QST Dataset1,State 3,Bayesian Inference,0.781,0.853,0.135,0.243,0.844,0.933
QST Dataset1,State 4,Maximum Likelihood,0.822,0.778,0.075,0.174,0.769,0.788
QST Dataset1,State 5,Variational Quantum Eigensolver,0.823,0.753,0.227,0.271,0.852,0.784
QST Dataset1,State 1,Quantum Neural Networks,0.787,0.768,0.099,0.053,0.67,0.865
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.858,0.921,0.229,0.13,0.864,0.89
QST Dataset1,State 3,Shadow Tomography,0.781,0.914,0.121,0.212,0.764,0.834
QST Dataset1,State 4,Bayesian Inference,0.707,0.809,0.296,0.247,0.792,0.91
QST Dataset1,State 5,Maximum Likelihood,0.785,0.789,0.062,0.263,0.812,0.834
QST Dataset1,State 1,Variational Quantum Eigensolver,0.723,0.787,0.234,0.26,0.776,0.76
QST Dataset1,State 2,Quantum Neural Networks,0.831,0.909,0.168,0.151,0.863,0.829
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.746,0.911,0.113,0.054,0.916,0.905
QST Dataset1,State 4,Shadow Tomography,0.934,0.702,0.057,0.15,0.864,0.865
QST Dataset1,State 5,Bayesian Inference,0.792,0.797,0.076,0.08,0.826,0.885
QST Dataset1,State 1,Maximum Likelihood,0.843,0.714,0.252,0.141,0.844,0.927
QST Dataset1,State 2,Variational Quantum Eigensolver,0.774,0.703,0.126,0.298,0.908,0.858
QST Dataset1,State 3,Quantum Neural Networks,0.737,0.857,0.053,0.216,0.808,0.865
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.771,0.77,0.284,0.106,0.781,0.876
QST Dataset1,State 5,Shadow Tomography,0.77,0.925,0.219,0.162,0.693,0.757
QST Dataset1,State 1,Bayesian Inference,0.851,0.848,0.282,0.062,0.913,0.783
QST Dataset1,State 2,Maximum Likelihood,0.774,0.934,0.259,0.092,0.886,0.792
QST Dataset1,State 3,Variational Quantum Eigensolver,0.856,0.937,0.081,0.224,0.694,0.803
QST Dataset1,State 4,Quantum Neural Networks,0.768,0.809,0.297,0.074,0.668,0.855
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.728,0.848,0.053,0.206,0.829,0.95
QST Dataset1,State 1,Shadow Tomography,0.725,0.912,0.243,0.202,0.67,0.957
QST Dataset1,State 2,Bayesian Inference,0.846,0.859,0.297,0.263,0.705,0.818
QST Dataset1,State 3,Maximum Likelihood,0.765,0.706,0.106,0.282,0.926,0.776
QST Dataset1,State 4,Variational Quantum Eigensolver,0.831,0.781,0.228,0.251,0.852,0.936
QST Dataset1,State 5,Quantum Neural Networks,0.903,0.859,0.182,0.278,0.737,0.94
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.769,0.903,0.078,0.262,0.786,0.85
QST Dataset1,State 2,Shadow Tomography,0.702,0.837,0.273,0.28,0.697,0.905
QST Dataset1,State 3,Bayesian Inference,0.75,0.864,0.247,0.115,0.674,0.788
QST Dataset1,State 4,Maximum Likelihood,0.942,0.826,0.285,0.163,0.737,0.847
QST Dataset1,State 5,Variational Quantum Eigensolver,0.753,0.783,0.285,0.212,0.853,0.957
QST Dataset1,State 1,Quantum Neural Networks,0.887,0.811,0.195,0.185,0.713,0.876
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.923,0.858,0.234,0.252,0.829,0.941
QST Dataset1,State 3,Shadow Tomography,0.875,0.877,0.139,0.106,0.813,0.873
QST Dataset1,State 4,Bayesian Inference,0.744,0.839,0.201,0.066,0.651,0.801
