Dataset ID,Quantum State,Method,Expected Fidelity,Observed Fidelity,Expected Error,Observed Error,CI Lower Bound,CI Upper Bound
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.877,0.769,0.062,0.259,0.82,0.928
QST Dataset4,State 2,Shadow Tomography,0.853,0.819,0.168,0.154,0.686,0.911
QST Dataset4,State 3,Bayesian Inference,0.725,0.891,0.065,0.105,0.73,0.828
QST Dataset4,State 4,Maximum Likelihood,0.795,0.889,0.26,0.236,0.872,0.85
QST Dataset4,State 5,Variational Quantum Eigensolver,0.779,0.923,0.277,0.291,0.714,0.812
QST Dataset4,State 1,Quantum Neural Networks,0.773,0.778,0.245,0.228,0.774,0.902
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.938,0.84,0.293,0.27,0.792,0.782
QST Dataset4,State 3,Shadow Tomography,0.83,0.708,0.149,0.157,0.791,0.949
QST Dataset4,State 4,Bayesian Inference,0.897,0.806,0.157,0.28,0.704,0.888
QST Dataset4,State 5,Maximum Likelihood,0.712,0.747,0.2,0.129,0.776,0.951
QST Dataset4,State 1,Variational Quantum Eigensolver,0.865,0.887,0.299,0.131,0.866,0.937
QST Dataset4,State 2,Quantum Neural Networks,0.883,0.784,0.134,0.232,0.726,0.893
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.706,0.846,0.205,0.201,0.838,0.886
QST Dataset4,State 4,Shadow Tomography,0.785,0.867,0.152,0.294,0.67,0.773
QST Dataset4,State 5,Bayesian Inference,0.921,0.816,0.139,0.274,0.805,0.864
QST Dataset4,State 1,Maximum Likelihood,0.822,0.881,0.095,0.115,0.761,0.899
QST Dataset4,State 2,Variational Quantum Eigensolver,0.762,0.721,0.297,0.279,0.862,0.86
QST Dataset4,State 3,Quantum Neural Networks,0.907,0.782,0.106,0.296,0.807,0.805
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.749,0.836,0.192,0.236,0.776,0.858
QST Dataset4,State 5,Shadow Tomography,0.918,0.811,0.246,0.287,0.818,0.946
QST Dataset4,State 1,Bayesian Inference,0.929,0.816,0.104,0.144,0.924,0.811
QST Dataset4,State 2,Maximum Likelihood,0.812,0.829,0.083,0.228,0.884,0.861
QST Dataset4,State 3,Variational Quantum Eigensolver,0.708,0.723,0.253,0.072,0.83,0.831
QST Dataset4,State 4,Quantum Neural Networks,0.878,0.71,0.206,0.271,0.762,0.765
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.877,0.872,0.073,0.191,0.795,0.922
QST Dataset4,State 1,Shadow Tomography,0.948,0.742,0.294,0.258,0.727,0.927
QST Dataset4,State 2,Bayesian Inference,0.752,0.722,0.264,0.078,0.802,0.77
QST Dataset4,State 3,Maximum Likelihood,0.922,0.74,0.096,0.245,0.839,0.751
QST Dataset4,State 4,Variational Quantum Eigensolver,0.87,0.792,0.28,0.124,0.895,0.856
QST Dataset4,State 5,Quantum Neural Networks,0.826,0.949,0.178,0.196,0.769,0.834
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.729,0.856,0.135,0.148,0.814,0.956
QST Dataset4,State 2,Shadow Tomography,0.884,0.735,0.245,0.203,0.904,0.961
QST Dataset4,State 3,Bayesian Inference,0.819,0.875,0.264,0.234,0.831,0.942
QST Dataset4,State 4,Maximum Likelihood,0.841,0.875,0.245,0.112,0.855,0.795
QST Dataset4,State 5,Variational Quantum Eigensolver,0.923,0.93,0.255,0.171,0.715,0.799
QST Dataset4,State 1,Quantum Neural Networks,0.728,0.915,0.217,0.255,0.836,0.768
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.747,0.758,0.177,0.251,0.906,0.892
QST Dataset4,State 3,Shadow Tomography,0.732,0.793,0.223,0.127,0.759,0.812
QST Dataset4,State 4,Bayesian Inference,0.861,0.908,0.225,0.186,0.804,0.85
QST Dataset4,State 5,Maximum Likelihood,0.726,0.838,0.264,0.084,0.725,0.966
QST Dataset4,State 1,Variational Quantum Eigensolver,0.74,0.709,0.064,0.073,0.754,0.866
QST Dataset4,State 2,Quantum Neural Networks,0.914,0.846,0.077,0.114,0.743,0.879
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.862,0.807,0.129,0.091,0.885,0.85
QST Dataset4,State 4,Shadow Tomography,0.878,0.757,0.235,0.219,0.748,0.872
QST Dataset4,State 5,Bayesian Inference,0.769,0.786,0.058,0.219,0.706,0.871
QST Dataset4,State 1,Maximum Likelihood,0.923,0.853,0.156,0.061,0.718,0.837
QST Dataset4,State 2,Variational Quantum Eigensolver,0.887,0.826,0.198,0.092,0.721,0.935
QST Dataset4,State 3,Quantum Neural Networks,0.783,0.877,0.132,0.117,0.753,0.909
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.857,0.754,0.114,0.117,0.702,0.925
QST Dataset4,State 5,Shadow Tomography,0.815,0.721,0.101,0.281,0.877,0.804
QST Dataset4,State 1,Bayesian Inference,0.93,0.833,0.07,0.054,0.832,0.886
QST Dataset4,State 2,Maximum Likelihood,0.856,0.807,0.089,0.243,0.67,0.94
QST Dataset4,State 3,Variational Quantum Eigensolver,0.737,0.929,0.251,0.242,0.695,0.841
QST Dataset4,State 4,Quantum Neural Networks,0.781,0.807,0.169,0.293,0.857,0.926
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.794,0.935,0.051,0.204,0.741,0.771
QST Dataset4,State 1,Shadow Tomography,0.865,0.785,0.267,0.115,0.784,0.752
QST Dataset4,State 2,Bayesian Inference,0.799,0.88,0.225,0.16,0.807,0.877
QST Dataset4,State 3,Maximum Likelihood,0.922,0.875,0.219,0.196,0.783,0.885
QST Dataset4,State 4,Variational Quantum Eigensolver,0.901,0.753,0.258,0.21,0.824,0.968
QST Dataset4,State 5,Quantum Neural Networks,0.76,0.944,0.17,0.243,0.888,0.84
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.892,0.842,0.266,0.073,0.704,0.938
QST Dataset4,State 2,Shadow Tomography,0.937,0.729,0.199,0.157,0.875,0.754
QST Dataset4,State 3,Bayesian Inference,0.715,0.869,0.09,0.234,0.867,0.797
QST Dataset4,State 4,Maximum Likelihood,0.937,0.928,0.157,0.271,0.792,0.963
QST Dataset4,State 5,Variational Quantum Eigensolver,0.702,0.914,0.159,0.124,0.762,0.832
QST Dataset4,State 1,Quantum Neural Networks,0.931,0.773,0.242,0.216,0.862,0.863
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.84,0.851,0.142,0.089,0.684,0.767
QST Dataset4,State 3,Shadow Tomography,0.866,0.883,0.151,0.179,0.688,0.843
QST Dataset4,State 4,Bayesian Inference,0.92,0.736,0.151,0.086,0.811,0.758
QST Dataset4,State 5,Maximum Likelihood,0.772,0.79,0.156,0.284,0.924,0.806
QST Dataset4,State 1,Variational Quantum Eigensolver,0.838,0.724,0.115,0.178,0.668,0.909
QST Dataset4,State 2,Quantum Neural Networks,0.835,0.889,0.075,0.171,0.865,0.94
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.754,0.834,0.195,0.229,0.881,0.936
QST Dataset4,State 4,Shadow Tomography,0.837,0.743,0.096,0.238,0.88,0.849
QST Dataset4,State 5,Bayesian Inference,0.713,0.916,0.082,0.079,0.819,0.911
QST Dataset4,State 1,Maximum Likelihood,0.762,0.809,0.266,0.053,0.737,0.777
QST Dataset4,State 2,Variational Quantum Eigensolver,0.787,0.745,0.284,0.102,0.848,0.86
QST Dataset4,State 3,Quantum Neural Networks,0.794,0.811,0.072,0.179,0.856,0.95
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.911,0.764,0.121,0.273,0.708,0.931
QST Dataset4,State 5,Shadow Tomography,0.773,0.767,0.124,0.19,0.911,0.776
QST Dataset4,State 1,Bayesian Inference,0.867,0.77,0.243,0.221,0.896,0.961
QST Dataset4,State 2,Maximum Likelihood,0.904,0.77,0.129,0.235,0.756,0.949
QST Dataset4,State 3,Variational Quantum Eigensolver,0.935,0.85,0.093,0.25,0.669,0.805
QST Dataset4,State 4,Quantum Neural Networks,0.771,0.819,0.079,0.158,0.915,0.893
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.938,0.935,0.165,0.179,0.884,0.838
QST Dataset4,State 1,Shadow Tomography,0.801,0.739,0.086,0.152,0.753,0.898
QST Dataset4,State 2,Bayesian Inference,0.806,0.724,0.118,0.251,0.716,0.799
QST Dataset4,State 3,Maximum Likelihood,0.885,0.917,0.126,0.156,0.859,0.836
QST Dataset4,State 4,Variational Quantum Eigensolver,0.775,0.848,0.076,0.098,0.919,0.951
QST Dataset4,State 5,Quantum Neural Networks,0.88,0.758,0.265,0.104,0.874,0.831
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.89,0.721,0.073,0.152,0.892,0.968
QST Dataset4,State 2,Shadow Tomography,0.869,0.816,0.184,0.279,0.688,0.844
QST Dataset4,State 3,Bayesian Inference,0.902,0.745,0.202,0.246,0.863,0.855
QST Dataset4,State 4,Maximum Likelihood,0.912,0.886,0.275,0.292,0.923,0.951
QST Dataset4,State 5,Variational Quantum Eigensolver,0.889,0.907,0.204,0.094,0.744,0.761
QST Dataset4,State 1,Quantum Neural Networks,0.753,0.706,0.058,0.273,0.693,0.804
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.786,0.781,0.27,0.252,0.862,0.786
QST Dataset4,State 3,Shadow Tomography,0.815,0.824,0.192,0.202,0.917,0.947
QST Dataset4,State 4,Bayesian Inference,0.811,0.778,0.098,0.261,0.667,0.827
QST Dataset4,State 5,Maximum Likelihood,0.892,0.748,0.13,0.218,0.811,0.777
QST Dataset4,State 1,Variational Quantum Eigensolver,0.753,0.729,0.119,0.198,0.88,0.913
QST Dataset4,State 2,Quantum Neural Networks,0.782,0.767,0.197,0.231,0.713,0.96
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.886,0.926,0.268,0.253,0.887,0.925
QST Dataset4,State 4,Shadow Tomography,0.909,0.944,0.262,0.054,0.911,0.905
QST Dataset4,State 5,Bayesian Inference,0.745,0.72,0.182,0.282,0.758,0.758
QST Dataset4,State 1,Maximum Likelihood,0.842,0.768,0.227,0.298,0.745,0.884
QST Dataset4,State 2,Variational Quantum Eigensolver,0.849,0.869,0.218,0.216,0.928,0.825
QST Dataset4,State 3,Quantum Neural Networks,0.765,0.735,0.17,0.05,0.908,0.922
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.852,0.747,0.157,0.219,0.868,0.873
QST Dataset4,State 5,Shadow Tomography,0.792,0.853,0.109,0.194,0.653,0.914
QST Dataset4,State 1,Bayesian Inference,0.79,0.874,0.297,0.275,0.891,0.785
QST Dataset4,State 2,Maximum Likelihood,0.915,0.753,0.238,0.169,0.677,0.782
QST Dataset4,State 3,Variational Quantum Eigensolver,0.935,0.706,0.251,0.138,0.8,0.769
QST Dataset4,State 4,Quantum Neural Networks,0.751,0.849,0.267,0.072,0.83,0.917
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.822,0.814,0.249,0.256,0.807,0.795
QST Dataset4,State 1,Shadow Tomography,0.846,0.804,0.131,0.144,0.701,0.931
QST Dataset4,State 2,Bayesian Inference,0.822,0.892,0.124,0.139,0.87,0.903
QST Dataset4,State 3,Maximum Likelihood,0.814,0.739,0.219,0.247,0.817,0.804
QST Dataset4,State 4,Variational Quantum Eigensolver,0.905,0.753,0.122,0.078,0.925,0.932
QST Dataset4,State 5,Quantum Neural Networks,0.928,0.891,0.193,0.289,0.742,0.81
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.845,0.879,0.183,0.196,0.679,0.929
QST Dataset4,State 2,Shadow Tomography,0.845,0.837,0.071,0.228,0.769,0.819
QST Dataset4,State 3,Bayesian Inference,0.726,0.913,0.181,0.3,0.87,0.911
QST Dataset4,State 4,Maximum Likelihood,0.917,0.935,0.189,0.056,0.878,0.836
QST Dataset4,State 5,Variational Quantum Eigensolver,0.785,0.715,0.056,0.261,0.819,0.871
QST Dataset4,State 1,Quantum Neural Networks,0.908,0.846,0.27,0.244,0.898,0.813
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.832,0.834,0.212,0.279,0.927,0.846
QST Dataset4,State 3,Shadow Tomography,0.832,0.869,0.216,0.23,0.678,0.798
QST Dataset4,State 4,Bayesian Inference,0.742,0.738,0.178,0.215,0.673,0.966
QST Dataset4,State 5,Maximum Likelihood,0.843,0.746,0.274,0.28,0.713,0.814
QST Dataset4,State 1,Variational Quantum Eigensolver,0.854,0.909,0.151,0.286,0.793,0.953
QST Dataset4,State 2,Quantum Neural Networks,0.816,0.913,0.264,0.129,0.861,0.752
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.923,0.752,0.05,0.149,0.729,0.954
QST Dataset4,State 4,Shadow Tomography,0.918,0.836,0.142,0.218,0.908,0.818
QST Dataset4,State 5,Bayesian Inference,0.732,0.749,0.211,0.219,0.849,0.969
QST Dataset4,State 1,Maximum Likelihood,0.84,0.724,0.254,0.142,0.777,0.929
QST Dataset4,State 2,Variational Quantum Eigensolver,0.706,0.904,0.067,0.256,0.907,0.834
QST Dataset4,State 3,Quantum Neural Networks,0.705,0.848,0.085,0.192,0.822,0.803
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.945,0.812,0.253,0.136,0.71,0.927
QST Dataset4,State 5,Shadow Tomography,0.787,0.862,0.153,0.276,0.832,0.927
QST Dataset4,State 1,Bayesian Inference,0.781,0.741,0.121,0.21,0.766,0.872
QST Dataset4,State 2,Maximum Likelihood,0.893,0.886,0.178,0.207,0.825,0.751
QST Dataset4,State 3,Variational Quantum Eigensolver,0.747,0.73,0.058,0.126,0.925,0.864
QST Dataset4,State 4,Quantum Neural Networks,0.94,0.864,0.124,0.205,0.754,0.861
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.885,0.809,0.096,0.278,0.696,0.845
QST Dataset4,State 1,Shadow Tomography,0.707,0.843,0.251,0.296,0.794,0.887
QST Dataset4,State 2,Bayesian Inference,0.889,0.911,0.223,0.225,0.911,0.968
QST Dataset4,State 3,Maximum Likelihood,0.807,0.742,0.256,0.267,0.843,0.861
QST Dataset4,State 4,Variational Quantum Eigensolver,0.813,0.83,0.13,0.088,0.773,0.963
QST Dataset4,State 5,Quantum Neural Networks,0.848,0.706,0.166,0.051,0.889,0.831
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.717,0.791,0.107,0.248,0.889,0.783
QST Dataset4,State 2,Shadow Tomography,0.721,0.725,0.264,0.219,0.858,0.801
QST Dataset4,State 3,Bayesian Inference,0.779,0.725,0.092,0.279,0.713,0.921
QST Dataset4,State 4,Maximum Likelihood,0.92,0.769,0.072,0.133,0.834,0.901
QST Dataset4,State 5,Variational Quantum Eigensolver,0.805,0.716,0.153,0.176,0.792,0.839
QST Dataset4,State 1,Quantum Neural Networks,0.807,0.783,0.168,0.088,0.793,0.933
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.905,0.856,0.287,0.189,0.708,0.874
QST Dataset4,State 3,Shadow Tomography,0.859,0.867,0.128,0.187,0.855,0.915
QST Dataset4,State 4,Bayesian Inference,0.847,0.948,0.128,0.268,0.814,0.776
QST Dataset4,State 5,Maximum Likelihood,0.809,0.809,0.138,0.298,0.805,0.914
QST Dataset4,State 1,Variational Quantum Eigensolver,0.919,0.742,0.124,0.271,0.652,0.842
QST Dataset4,State 2,Quantum Neural Networks,0.874,0.937,0.281,0.148,0.761,0.901
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.883,0.749,0.158,0.229,0.703,0.879
QST Dataset4,State 4,Shadow Tomography,0.937,0.729,0.197,0.135,0.835,0.937
QST Dataset4,State 5,Bayesian Inference,0.866,0.763,0.289,0.279,0.763,0.892
QST Dataset4,State 1,Maximum Likelihood,0.712,0.892,0.262,0.21,0.724,0.844
QST Dataset4,State 2,Variational Quantum Eigensolver,0.871,0.861,0.091,0.162,0.833,0.872
QST Dataset4,State 3,Quantum Neural Networks,0.721,0.919,0.086,0.209,0.929,0.895
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.77,0.921,0.093,0.112,0.814,0.896
QST Dataset4,State 5,Shadow Tomography,0.869,0.709,0.233,0.122,0.762,0.932
QST Dataset4,State 1,Bayesian Inference,0.766,0.896,0.14,0.127,0.728,0.761
QST Dataset4,State 2,Maximum Likelihood,0.798,0.929,0.166,0.225,0.751,0.845
QST Dataset4,State 3,Variational Quantum Eigensolver,0.814,0.912,0.23,0.217,0.829,0.868
QST Dataset4,State 4,Quantum Neural Networks,0.853,0.943,0.143,0.123,0.922,0.958
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.869,0.936,0.055,0.193,0.921,0.823
QST Dataset4,State 1,Shadow Tomography,0.879,0.937,0.297,0.111,0.819,0.82
QST Dataset4,State 2,Bayesian Inference,0.897,0.949,0.246,0.27,0.848,0.817
QST Dataset4,State 3,Maximum Likelihood,0.905,0.841,0.139,0.139,0.887,0.89
QST Dataset4,State 4,Variational Quantum Eigensolver,0.819,0.764,0.076,0.23,0.778,0.89
QST Dataset4,State 5,Quantum Neural Networks,0.718,0.888,0.065,0.249,0.885,0.887
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.891,0.77,0.235,0.158,0.919,0.801
QST Dataset4,State 2,Shadow Tomography,0.88,0.744,0.255,0.231,0.871,0.783
QST Dataset4,State 3,Bayesian Inference,0.803,0.793,0.107,0.072,0.687,0.769
QST Dataset4,State 4,Maximum Likelihood,0.831,0.817,0.189,0.261,0.854,0.891
QST Dataset4,State 5,Variational Quantum Eigensolver,0.846,0.799,0.296,0.2,0.854,0.943
QST Dataset4,State 1,Quantum Neural Networks,0.855,0.853,0.238,0.274,0.69,0.792
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.865,0.889,0.293,0.086,0.841,0.824
QST Dataset4,State 3,Shadow Tomography,0.814,0.88,0.292,0.205,0.842,0.843
QST Dataset4,State 4,Bayesian Inference,0.915,0.931,0.151,0.196,0.787,0.937
